product_id,price,category,effective_date,end_date,is_current
22,1835.13,Clothing,2023-01-01,2023-12-31,0
22,2015.71,Clothing,2024-01-01,,1
23,295.72,Electronics,2023-01-01,2023-12-31,0
23,339.97,Electronics,2024-01-01,,1
24,1791.41,Home,2023-01-01,2023-12-31,0
24,1612.33,Home,2024-01-01,,1
25,1221.64,Clothing,2023-01-01,2023-12-31,0
25,1078.84,Clothing,2024-01-01,,1
26,1589.06,Clothing,2023-01-01,2023-12-31,0
26,1435.58,Clothing,2024-01-01,,1
27,1919.59,Home,2023-01-01,2023-12-31,0
27,2036.13,Home,2024-01-01,,1
28,946.22,Sports,2023-01-01,2023-12-31,0
28,961.52,Sports,2024-01-01,,1
29,1209.98,Electronics,2023-01-01,2023-12-31,0
29,1136.85,Electronics,2024-01-01,,1
30,1733.21,Grocery,2023-01-01,2023-12-31,0
30,1600.69,Grocery,2024-01-01,,1
31,1525.53,Sports,2023-01-01,2023-12-31,0
31,1678.43,Sports,2024-01-01,,1
32,1679.0,Clothing,2023-01-01,2023-12-31,0
32,1820.05,Clothing,2024-01-01,,1
33,1156.54,Electronics,2023-01-01,2023-12-31,0
33,1071.5,Electronics,2024-01-01,,1
34,555.03,Grocery,2023-01-01,2023-12-31,0
34,594.73,Grocery,2024-01-01,,1
35,1269.15,Home,2023-01-01,2023-12-31,0
35,1507.39,Home,2024-01-01,,1
36,1186.24,Electronics,2023-01-01,2023-12-31,0
36,1448.38,Electronics,2024-01-01,,1
37,1040.8,Clothing,2023-01-01,2023-12-31,0
37,1091.42,Clothing,2024-01-01,,1
38,1364.5,Home,2023-01-01,2023-12-31,0
38,1301.49,Home,2024-01-01,,1
39,274.4,Clothing,2023-01-01,2023-12-31,0
39,278.64,Clothing,2024-01-01,,1
40,346.74,Grocery,2023-01-01,2023-12-31,0
40,325.3,Grocery,2024-01-01,,1
41,841.84,Home,2023-01-01,2023-12-31,0
41,770.35,Home,2024-01-01,,1
42,1885.48,Clothing,2023-01-01,2023-12-31,0
42,2000.85,Clothing,2024-01-01,,1
43,860.01,Home,2023-01-01,2023-12-31,0
43,737.38,Home,2024-01-01,,1
44,133.46,Grocery,2023-01-01,2023-12-31,0
44,154.76,Grocery,2024-01-01,,1
45,520.47,Electronics,2023-01-01,2023-12-31,0
45,567.06,Electronics,2024-01-01,,1
46,1714.81,Home,2023-01-01,2023-12-31,0
46,1761.64,Home,2024-01-01,,1
47,1660.48,Grocery,2023-01-01,2023-12-31,0
47,2035.84,Grocery,2024-01-01,,1
48,1427.7,Electronics,2023-01-01,2023-12-31,0
48,1661.19,Electronics,2024-01-01,,1
49,211.61,Sports,2023-01-01,2023-12-31,0
49,247.03,Sports,2024-01-01,,1
50,617.91,Sports,2023-01-01,2023-12-31,0
50,570.28,Sports,2024-01-01,,1
51,1606.14,Sports,2023-01-01,2023-12-31,0
51,1795.45,Sports,2024-01-01,,1
52,545.3,Electronics,2023-01-01,2023-12-31,0
52,629.38,Electronics,2024-01-01,,1
53,1880.01,Grocery,2023-01-01,2023-12-31,0
53,1791.94,Grocery,2024-01-01,,1
54,1598.64,Home,2023-01-01,2023-12-31,0
54,1787.39,Home,2024-01-01,,1
55,188.15,Clothing,2023-01-01,2023-12-31,0
55,185.69,Clothing,2024-01-01,,1
56,918.69,Sports,2023-01-01,2023-12-31,0
56,860.75,Sports,2024-01-01,,1
57,639.19,Clothing,2023-01-01,2023-12-31,0
57,688.35,Clothing,2024-01-01,,1
58,1712.49,Sports,2023-01-01,2023-12-31,0
58,2099.07,Sports,2024-01-01,,1
59,278.32,Sports,2023-01-01,2023-12-31,0
59,264.52,Sports,2024-01-01,,1
60,1236.64,Electronics,2023-01-01,2023-12-31,0
60,1128.93,Electronics,2024-01-01,,1
61,151.29,Clothing,2023-01-01,2023-12-31,0
61,171.66,Clothing,2024-01-01,,1
62,1724.38,Clothing,2023-01-01,2023-12-31,0
62,1802.26,Clothing,2024-01-01,,1
63,998.81,Grocery,2023-01-01,2023-12-31,0
63,1129.23,Grocery,2024-01-01,,1
64,1587.45,Electronics,2023-01-01,2023-12-31,0
64,1855.37,Electronics,2024-01-01,,1
65,579.35,Grocery,2023-01-01,2023-12-31,0
65,590.5,Grocery,2024-01-01,,1
66,1677.0,Grocery,2023-01-01,2023-12-31,0
66,1642.32,Grocery,2024-01-01,,1
67,725.88,Grocery,2023-01-01,2023-12-31,0
67,661.68,Grocery,2024-01-01,,1
68,563.45,Electronics,2023-01-01,2023-12-31,0
68,533.94,Electronics,2024-01-01,,1
69,194.83,Home,2023-01-01,2023-12-31,0
69,218.96,Home,2024-01-01,,1
70,929.55,Grocery,2023-01-01,2023-12-31,0
70,829.35,Grocery,2024-01-01,,1
71,146.95,Sports,2023-01-01,2023-12-31,0
71,133.64,Sports,2024-01-01,,1
72,313.7,Grocery,2023-01-01,2023-12-31,0
72,285.57,Grocery,2024-01-01,,1
73,403.19,Grocery,2023-01-01,2023-12-31,0
73,409.77,Grocery,2024-01-01,,1
74,1143.98,Clothing,2023-01-01,2023-12-31,0
74,1350.7,Clothing,2024-01-01,,1
75,1871.34,Grocery,2023-01-01,2023-12-31,0
75,2288.62,Grocery,2024-01-01,,1
76,700.18,Electronics,2023-01-01,2023-12-31,0
76,694.9,Electronics,2024-01-01,,1
77,234.1,Electronics,2023-01-01,2023-12-31,0
77,282.47,Electronics,2024-01-01,,1
78,1804.11,Clothing,2023-01-01,2023-12-31,0
78,2165.04,Clothing,2024-01-01,,1
79,997.22,Clothing,2023-01-01,2023-12-31,0
79,1160.11,Clothing,2024-01-01,,1
80,859.01,Clothing,2023-01-01,2023-12-31,0
80,1059.51,Clothing,2024-01-01,,1
81,136.08,Sports,2023-01-01,2023-12-31,0
81,119.85,Sports,2024-01-01,,1
82,1184.69,Grocery,2023-01-01,2023-12-31,0
82,1296.03,Grocery,2024-01-01,,1
83,1734.38,Electronics,2023-01-01,2023-12-31,0
83,1764.72,Electronics,2024-01-01,,1
84,428.22,Grocery,2023-01-01,2023-12-31,0
84,456.82,Grocery,2024-01-01,,1
85,1118.73,Sports,2023-01-01,2023-12-31,0
85,1130.25,Sports,2024-01-01,,1
86,1941.03,Grocery,2023-01-01,2023-12-31,0
86,1738.61,Grocery,2024-01-01,,1
87,937.78,Electronics,2023-01-01,2023-12-31,0
87,959.79,Electronics,2024-01-01,,1
88,1209.75,Clothing,2023-01-01,2023-12-31,0
88,1085.67,Clothing,2024-01-01,,1
89,1931.91,Sports,2023-01-01,2023-12-31,0
89,2277.03,Sports,2024-01-01,,1
90,879.57,Electronics,2023-01-01,2023-12-31,0
90,1018.13,Electronics,2024-01-01,,1
91,722.71,Sports,2023-01-01,2023-12-31,0
91,764.81,Sports,2024-01-01,,1
92,1006.23,Grocery,2023-01-01,2023-12-31,0
92,899.36,Grocery,2024-01-01,,1
93,838.85,Grocery,2023-01-01,2023-12-31,0
93,875.87,Grocery,2024-01-01,,1
94,1308.7,Sports,2023-01-01,2023-12-31,0
94,1444.55,Sports,2024-01-01,,1
95,1585.94,Home,2023-01-01,2023-12-31,0
95,1518.32,Home,2024-01-01,,1
96,221.05,Electronics,2023-01-01,2023-12-31,0
96,214.39,Electronics,2024-01-01,,1
97,1340.21,Sports,2023-01-01,2023-12-31,0
97,1303.91,Sports,2024-01-01,,1
98,1640.31,Electronics,2023-01-01,2023-12-31,0
98,1658.33,Electronics,2024-01-01,,1
99,1826.66,Grocery,2023-01-01,2023-12-31,0
99,1915.75,Grocery,2024-01-01,,1
100,420.71,Clothing,2023-01-01,2023-12-31,0
100,369.61,Clothing,2024-01-01,,1
