order_id,payment_amount,payment_method,payment_date
15195,1813.83,Wallet,2024-01-29
12897,1806.88,Wallet,2024-02-09
5848,1559.79,Wallet,2024-01-29
8179,1821.83,UPI,2024-01-06
15803,441.02,Wallet,2024-02-06
17032,385.33,Card,2024-01-31
10680,1335.95,NetBanking,2024-02-07
5703,1260.06,Card,2024-02-01
3389,743.23,NetBanking,2024-01-02
19394,1475.17,NetBanking,2024-01-16
4869,1858.05,Card,2024-01-14
19442,1579.16,Wallet,2024-01-22
17859,262.37,NetBanking,2024-02-04
13839,1247.14,Wallet,2024-01-30
7018,724.2,NetBanking,2024-02-13
17514,271.57,UPI,2024-01-02
12695,1338.34,UPI,2024-01-07
3654,1976.96,Wallet,2024-01-02
15313,1458.21,Wallet,2024-02-20
14261,1954.7,UPI,2024-02-27
3454,718.25,NetBanking,2024-01-19
11127,229.65,Card,2024-02-29
19224,169.25,Card,2024-01-18
590,167.82,Wallet,2024-02-21
19949,1317.73,Card,2024-02-12
18881,1412.13,Card,2024-01-15
8331,1756.43,NetBanking,2024-01-16
8514,898.99,Wallet,2024-02-23
7102,1592.63,Wallet,2024-02-27
12254,618.58,Card,2024-01-20
3020,594.79,UPI,2024-01-01
18744,1765.79,NetBanking,2024-02-20
17589,345.52,Wallet,2024-02-16
2181,767.31,Wallet,2024-02-10
14007,311.79,UPI,2024-02-12
7493,360.28,UPI,2024-02-21
8006,989.52,UPI,2024-02-14
6099,486.19,Card,2024-02-15
19104,748.23,Wallet,2024-01-21
5297,490.4,Card,2024-02-12
7863,1388.68,Wallet,2024-01-26
15759,1622.2,NetBanking,2024-02-21
5987,993.36,NetBanking,2024-01-02
12182,1524.04,NetBanking,2024-02-02
18342,139.37,Wallet,2024-01-18
12904,1574.7,UPI,2024-02-28
9601,422.01,Card,2024-02-29
17787,1821.56,NetBanking,2024-01-26
10118,1030.77,Wallet,2024-01-29
3593,1992.62,UPI,2024-01-28
7012,847.97,Card,2024-01-09
10416,1875.8,Wallet,2024-01-01
18501,1095.33,Card,2024-01-19
3773,1576.4,Wallet,2024-01-17
7864,1264.11,Card,2024-01-17
1010,1244.9,UPI,2024-03-01
6814,436.32,UPI,2024-02-01
17308,1233.63,Wallet,2024-01-08
17726,281.29,Card,2024-02-02
841,1872.32,UPI,2024-01-17
12818,483.04,Card,2024-01-28
5762,188.07,NetBanking,2024-02-04
6723,1978.69,Wallet,2024-01-17
19975,1770.69,NetBanking,2024-02-16
9193,1795.23,Wallet,2024-02-24
14922,1399.32,Wallet,2024-01-20
6517,473.85,NetBanking,2024-01-17
7440,890.6,Wallet,2024-02-28
16675,456.43,Wallet,2024-02-22
8780,1872.38,Card,2024-02-18
19064,1675.98,UPI,2024-01-29
8410,276.61,NetBanking,2024-01-24
11579,742.66,UPI,2024-01-21
14100,691.39,Wallet,2024-02-12
15479,501.65,NetBanking,2024-03-01
13776,766.6,UPI,2024-01-03
6574,1505.98,Wallet,2024-02-25
12598,1941.15,Wallet,2024-02-13
2560,1250.56,NetBanking,2024-01-26
9912,165.92,Wallet,2024-02-24
15571,967.0,UPI,2024-02-26
3904,1022.83,NetBanking,2024-02-05
4856,1519.39,Wallet,2024-01-10
3306,806.98,NetBanking,2024-02-18
2000,1893.08,Wallet,2024-02-22
8454,1793.62,UPI,2024-01-01
4034,1083.6,Card,2024-02-01
6448,1548.31,UPI,2024-02-20
237,380.38,Wallet,2024-01-16
16879,1675.81,Wallet,2024-02-24
13747,357.96,NetBanking,2024-01-09
19560,1272.02,Card,2024-02-18
10432,875.47,Wallet,2024-02-26
13846,565.1,NetBanking,2024-01-19
19877,262.6,UPI,2024-01-12
13250,1029.09,UPI,2024-02-10
10209,758.81,Wallet,2024-01-02
1650,1626.01,UPI,2024-01-25
3772,1445.66,Wallet,2024-02-14
15785,576.63,Wallet,2024-01-21
12663,1237.27,NetBanking,2024-02-17
5829,684.7,Card,2024-01-09
5578,494.57,Card,2024-02-03
15441,1200.76,Card,2024-02-23
17050,1659.82,Wallet,2024-02-29
9942,1428.86,NetBanking,2024-01-09
8967,555.69,UPI,2024-01-28
11564,1921.14,Card,2024-02-11
13658,344.09,Card,2024-03-01
16920,1241.16,Wallet,2024-02-23
2318,2169.02,UPI,2024-01-05
9427,1824.07,NetBanking,2024-02-15
16578,455.87,NetBanking,2024-03-01
1328,1812.19,Card,2024-01-28
16248,893.12,Card,2024-02-23
19987,1680.5,Card,2024-01-20
4122,450.25,NetBanking,2024-02-27
16700,1536.35,Wallet,2024-01-19
520,1506.26,Card,2024-03-01
19994,434.11,NetBanking,2024-01-12
9795,1228.17,Card,2024-01-12
16025,1382.97,Wallet,2024-02-21
10071,415.73,NetBanking,2024-01-29
8493,1242.33,Card,2024-01-15
12416,176.16,Wallet,2024-01-25
13856,467.92,UPI,2024-01-05
12822,411.76,Wallet,2024-03-01
7542,1144.12,Card,2024-02-26
5037,568.54,UPI,2024-02-23
16705,1221.7,NetBanking,2024-02-12
10797,941.56,Card,2024-01-15
15172,1336.25,Card,2024-03-01
15283,1196.02,Card,2024-02-23
15422,217.17,Card,2024-01-29
17255,390.9,Card,2024-01-03
1028,1261.64,Card,2024-02-14
18644,621.5,Wallet,2024-02-12
1034,1170.99,UPI,2024-02-16
3867,1167.41,UPI,2024-02-02
4623,1228.89,UPI,2024-02-04
19252,718.46,UPI,2024-02-22
11144,617.01,Wallet,2024-01-04
11619,1678.66,Wallet,2024-01-27
3617,290.06,Wallet,2024-01-10
1878,1660.38,UPI,2024-02-01
19207,873.88,Wallet,2024-01-25
14230,1471.81,UPI,2024-02-23
11,307.68,Wallet,2024-02-23
11219,562.01,NetBanking,2024-01-01
4921,1432.07,Wallet,2024-02-09
10624,443.75,Card,2024-03-01
7807,218.29,UPI,2024-01-30
3091,379.51,Card,2024-01-10
6970,360.02,Wallet,2024-01-02
2465,393.67,Wallet,2024-01-13
17919,1707.26,Card,2024-01-13
17069,1286.93,UPI,2024-02-10
4858,1591.92,UPI,2024-01-20
9596,1681.33,Wallet,2024-02-16
13720,1765.99,Card,2024-02-02
6026,1675.52,NetBanking,2024-01-25
13528,1237.31,Card,2024-01-26
16532,960.32,Wallet,2024-01-17
2374,375.76,Wallet,2024-02-21
293,1011.19,UPI,2024-01-06
8735,1696.92,Wallet,2024-01-22
12558,725.11,NetBanking,2024-01-02
2690,1724.18,Card,2024-01-29
18679,188.72,Card,2024-01-26
4721,1832.25,UPI,2024-01-16
4736,170.86,Card,2024-02-23
6560,771.26,Wallet,2024-02-18
7347,1250.15,UPI,2024-01-31
4401,1435.74,Wallet,2024-02-05
4996,1170.47,Wallet,2024-02-15
7268,1915.23,Wallet,2024-01-06
10614,1618.3,NetBanking,2024-01-15
12058,1777.48,UPI,2024-02-02
12137,261.47,NetBanking,2024-01-10
2838,1567.19,UPI,2024-01-22
14412,226.84,Card,2024-02-14
4876,336.12,UPI,2024-02-21
7499,1417.1,Wallet,2024-01-05
17218,1492.08,Wallet,2024-01-31
11180,296.61,UPI,2024-01-18
4757,1459.59,Wallet,2024-01-04
13435,1587.81,Card,2024-01-05
16272,1555.37,NetBanking,2024-01-20
3992,1128.47,UPI,2024-02-02
8176,392.87,Card,2024-02-22
1877,1407.53,Card,2024-01-05
8485,1980.08,UPI,2024-02-18
19761,379.36,UPI,2024-02-14
4059,300.34,UPI,2024-01-05
2971,580.09,Card,2024-01-01
4548,1924.72,NetBanking,2024-02-14
3378,1563.45,Card,2024-02-13
13857,1986.2,Card,2024-01-06
12733,1454.47,Card,2024-02-23
13680,584.05,UPI,2024-02-18
15648,1453.65,Card,2024-02-04
8633,546.16,Wallet,2024-01-11
4109,803.83,Wallet,2024-02-05
13559,1693.75,UPI,2024-01-16
19879,1788.34,Card,2024-01-22
18465,1723.27,Wallet,2024-02-16
2578,625.71,UPI,2024-01-24
9036,1885.85,NetBanking,2024-01-21
2368,455.72,NetBanking,2024-02-17
15019,1354.94,Card,2024-01-01
232,112.59,UPI,2024-02-03
14750,172.46,Wallet,2024-01-07
12807,1380.31,UPI,2024-02-13
992,224.72,UPI,2024-01-07
3182,1815.82,NetBanking,2024-02-05
12531,168.83,Wallet,2024-02-09
3505,640.18,UPI,2024-02-26
4854,1061.88,Card,2024-01-18
17111,1483.18,Wallet,2024-01-09
19021,1726.0,UPI,2024-02-29
19485,1387.51,UPI,2024-02-18
4057,1651.99,Card,2024-01-13
9320,1842.95,Wallet,2024-02-10
17911,277.6,Wallet,2024-02-01
2233,404.94,Wallet,2024-01-04
9326,1158.8,Card,2024-02-09
5274,624.16,UPI,2024-02-11
8396,773.23,Wallet,2024-02-01
2331,931.84,Wallet,2024-02-16
10837,1802.57,NetBanking,2024-01-04
3935,1211.34,Wallet,2024-02-19
3477,1311.58,Card,2024-02-19
11485,1023.52,Wallet,2024-01-03
69,241.92,Card,2024-02-04
4798,1806.14,UPI,2024-01-18
11396,1791.93,Wallet,2024-02-10
16597,504.29,Card,2024-01-14
16358,738.77,Card,2024-01-30
15910,1433.12,UPI,2024-02-09
9892,103.52,Wallet,2024-01-23
13394,1084.61,NetBanking,2024-01-25
4932,1939.08,Card,2024-01-13
18401,772.12,Wallet,2024-01-28
10473,1861.26,Card,2024-01-30
5615,922.05,Wallet,2024-03-01
8219,356.7,UPI,2024-02-04
8232,512.47,Card,2024-02-16
1038,1969.08,Card,2024-01-23
11365,954.64,Card,2024-01-05
6710,350.99,UPI,2024-01-10
7058,269.2,Card,2024-02-25
6493,1567.63,Wallet,2024-01-15
18408,1404.8,UPI,2024-02-26
6674,1523.48,UPI,2024-01-04
19716,313.5,UPI,2024-01-19
5231,136.72,NetBanking,2024-02-17
14592,728.36,Wallet,2024-01-17
12751,689.34,UPI,2024-02-05
1707,1943.45,Wallet,2024-01-13
6558,387.74,Wallet,2024-02-12
12644,417.73,Wallet,2024-01-21
7056,318.66,UPI,2024-02-01
2640,856.84,Card,2024-01-31
11660,252.45,Wallet,2024-02-06
15198,1020.22,Wallet,2024-01-23
8096,762.62,NetBanking,2024-02-02
5867,208.9,UPI,2024-01-29
525,895.98,NetBanking,2024-02-10
339,1438.95,Card,2024-02-01
830,1027.24,NetBanking,2024-02-07
8557,895.91,Wallet,2024-01-06
17383,1518.98,UPI,2024-01-06
9372,702.78,Card,2024-01-11
3294,1878.74,Wallet,2024-02-08
19287,1928.41,NetBanking,2024-01-02
9404,626.58,UPI,2024-01-21
7971,1038.49,UPI,2024-02-27
16439,764.65,NetBanking,2024-02-15
3804,759.08,UPI,2024-01-21
2927,403.33,NetBanking,2024-02-23
14318,1165.26,UPI,2024-02-29
4088,793.64,Wallet,2024-01-26
4386,215.73,Card,2024-02-12
3096,268.56,NetBanking,2024-01-16
9513,763.72,Card,2024-02-23
6619,1453.87,Wallet,2024-01-14
6235,795.2,Wallet,2024-02-29
407,1464.26,Wallet,2024-01-28
10519,1119.53,Card,2024-01-24
9067,971.01,NetBanking,2024-01-05
14173,213.55,UPI,2024-01-13
14045,1885.7,Wallet,2024-01-08
6928,443.45,NetBanking,2024-01-13
7466,554.17,NetBanking,2024-02-03
12030,162.15,Wallet,2024-02-18
15345,777.05,NetBanking,2024-02-29
17486,142.24,UPI,2024-01-05
5896,1150.92,NetBanking,2024-01-17
1482,1699.86,Wallet,2024-02-12
8284,187.1,Wallet,2024-01-01
15222,1728.05,Wallet,2024-01-24
11304,602.81,Card,2024-02-16
75,1072.11,Wallet,2024-01-06
19361,1333.39,UPI,2024-02-14
14610,716.18,UPI,2024-02-15
14017,167.56,UPI,2024-01-11
6734,1862.03,Wallet,2024-02-14
9733,1138.05,NetBanking,2024-03-01
1934,1917.44,UPI,2024-01-11
12298,1463.38,UPI,2024-02-29
4587,790.88,NetBanking,2024-02-22
145,1515.83,NetBanking,2024-01-04
17858,1627.12,UPI,2024-02-07
19668,1593.42,UPI,2024-02-14
15253,1355.43,Card,2024-02-23
14787,1523.26,NetBanking,2024-02-21
9502,513.91,Card,2024-01-01
15671,258.77,Card,2024-02-21
17574,406.16,Wallet,2024-02-07
8348,1162.21,Wallet,2024-01-18
14717,665.93,NetBanking,2024-01-21
9640,123.85,UPI,2024-01-18
4879,775.19,UPI,2024-03-01
7387,1559.55,Wallet,2024-01-09
4462,1570.48,Wallet,2024-01-31
9295,771.21,UPI,2024-02-02
8027,1015.1,Card,2024-01-24
19748,1078.31,Wallet,2024-02-02
265,547.21,NetBanking,2024-01-23
5800,2002.93,Wallet,2024-02-24
8360,151.54,Card,2024-02-12
13689,749.96,Wallet,2024-02-13
1462,968.53,Wallet,2024-02-16
19565,255.74,NetBanking,2024-01-16
7888,1871.64,Card,2024-01-07
14698,723.48,UPI,2024-01-06
16348,690.11,UPI,2024-01-27
921,1366.05,NetBanking,2024-02-11
5678,1018.78,Wallet,2024-02-09
5519,468.57,NetBanking,2024-01-18
6205,1381.92,Card,2024-01-08
17550,1209.55,UPI,2024-02-03
10095,1311.13,NetBanking,2024-01-04
1524,1671.27,Card,2024-01-15
3101,932.96,Card,2024-02-17
5422,1691.01,NetBanking,2024-02-27
17199,114.94,NetBanking,2024-01-13
16792,1702.24,Wallet,2024-01-20
8976,113.24,Wallet,2024-01-25
350,394.64,Card,2024-02-25
7245,724.49,UPI,2024-02-18
8072,1771.8,UPI,2024-02-29
14607,1653.16,Wallet,2024-01-25
7962,1134.44,Wallet,2024-02-25
5923,926.82,NetBanking,2024-01-26
18154,1293.53,UPI,2024-02-17
4075,1988.18,UPI,2024-01-09
6621,203.83,UPI,2024-02-19
6543,578.69,Wallet,2024-02-16
19071,1171.4,NetBanking,2024-02-17
2398,175.83,Card,2024-02-02
1513,1632.98,UPI,2024-01-24
178,1326.74,Card,2024-02-03
9540,1508.58,NetBanking,2024-01-18
18716,1341.91,NetBanking,2024-01-17
14143,1621.78,Card,2024-02-26
4912,892.97,Card,2024-02-27
3837,769.06,UPI,2024-01-31
18894,244.4,Card,2024-02-17
6341,542.22,Wallet,2024-01-20
16882,1707.13,Wallet,2024-02-01
2869,1163.0,Card,2024-01-16
16830,1525.38,NetBanking,2024-01-05
3495,871.29,Card,2024-01-21
13233,350.99,Card,2024-02-15
70,1049.48,NetBanking,2024-01-10
7327,1494.82,UPI,2024-02-12
12010,1203.53,NetBanking,2024-01-02
11456,910.81,NetBanking,2024-02-03
12771,1096.79,Wallet,2024-01-01
892,1530.48,UPI,2024-02-21
7343,1049.82,Wallet,2024-01-05
12344,1806.79,Wallet,2024-02-23
16663,1181.7,UPI,2024-01-12
13547,1331.42,UPI,2024-01-03
9819,1288.11,UPI,2024-01-15
6917,1590.83,UPI,2024-01-17
127,151.28,Card,2024-01-29
14941,1679.14,Card,2024-02-22
7803,737.91,Card,2024-02-15
258,128.68,Card,2024-01-07
2955,1924.4,NetBanking,2024-01-26
15354,1838.69,Card,2024-01-16
3147,301.08,Wallet,2024-01-24
9700,1190.28,NetBanking,2024-02-16
4174,1031.11,Wallet,2024-02-05
8266,1357.83,NetBanking,2024-01-23
13335,124.2,Wallet,2024-02-06
3247,987.61,NetBanking,2024-01-10
5482,209.26,Card,2024-01-10
19909,171.16,Wallet,2024-02-17
15418,522.02,Wallet,2024-02-03
1959,1725.72,UPI,2024-01-12
16068,124.12,NetBanking,2024-02-07
1761,1921.82,NetBanking,2024-02-07
19658,755.97,NetBanking,2024-01-09
7237,1301.2,Card,2024-02-01
2818,1029.46,UPI,2024-01-17
19757,1964.14,Card,2024-02-27
2344,874.6,Card,2024-02-23
10385,103.54,NetBanking,2024-01-09
19155,552.17,Card,2024-02-01
12497,1227.43,Wallet,2024-02-14
14013,1619.1,UPI,2024-02-20
13652,1084.07,Card,2024-02-25
6580,1476.69,NetBanking,2024-02-01
19111,1923.64,Card,2024-02-15
18066,470.38,NetBanking,2024-01-11
3496,1288.64,Wallet,2024-02-14
12327,1238.43,UPI,2024-02-23
17325,156.85,Wallet,2024-02-22
18166,589.94,UPI,2024-02-28
6419,1252.71,NetBanking,2024-02-11
15017,1541.72,UPI,2024-01-17
9759,1066.37,UPI,2024-02-02
12631,1628.61,Card,2024-01-02
5354,954.44,UPI,2024-01-31
16636,131.63,NetBanking,2024-01-18
7266,573.27,Card,2024-01-13
19267,299.13,UPI,2024-02-28
17601,506.22,Wallet,2024-02-19
15405,971.63,UPI,2024-01-01
14853,441.4,UPI,2024-01-23
12952,703.38,Wallet,2024-01-10
2071,108.33,Card,2024-01-19
2144,234.87,UPI,2024-01-11
19085,1655.87,Wallet,2024-03-01
7765,116.73,Wallet,2024-01-07
8125,1985.7,Wallet,2024-01-11
3191,122.0,Wallet,2024-02-04
11764,192.93,Wallet,2024-01-23
16697,1623.27,UPI,2024-01-02
13139,362.74,Wallet,2024-01-01
1888,1685.63,Wallet,2024-02-24
8374,1139.14,UPI,2024-01-26
9987,1481.22,Wallet,2024-01-08
13825,1331.34,Card,2024-01-26
5413,1307.79,Card,2024-01-03
4173,1000.54,NetBanking,2024-02-15
16954,658.8,Card,2024-01-09
2624,1162.93,Card,2024-01-17
1105,1217.11,Wallet,2024-01-03
14462,893.66,UPI,2024-02-01
1525,1346.05,NetBanking,2024-01-17
10233,1074.33,Wallet,2024-01-10
2020,1800.0,Card,2024-02-20
486,233.19,UPI,2024-02-06
9897,1752.12,UPI,2024-02-01
2449,1412.77,Card,2024-02-05
11004,722.4,Wallet,2024-02-15
16139,103.76,Wallet,2024-01-15
15762,388.67,NetBanking,2024-01-12
18178,543.49,UPI,2024-01-30
13294,992.94,Card,2024-02-04
11678,1075.03,Card,2024-02-13
7233,1817.36,UPI,2024-01-08
14358,1246.49,NetBanking,2024-02-20
3461,1604.19,NetBanking,2024-02-02
14009,1040.93,Card,2024-01-04
12476,1133.28,Card,2024-02-02
18907,1286.4,Wallet,2024-01-23
3587,859.46,UPI,2024-02-21
4248,1173.88,NetBanking,2024-01-11
13226,757.9,Card,2024-01-27
2158,628.21,Wallet,2024-01-07
16343,1394.22,NetBanking,2024-01-27
10553,1604.68,Wallet,2024-02-05
13404,1612.85,NetBanking,2024-02-27
16039,840.47,Wallet,2024-02-24
16266,270.68,Card,2024-01-04
11028,850.92,Card,2024-01-27
11197,1368.55,UPI,2024-01-01
6245,1693.69,Card,2024-02-16
17596,793.53,Wallet,2024-02-04
8080,1064.04,NetBanking,2024-01-02
11538,1212.95,NetBanking,2024-01-15
3184,308.26,Card,2024-02-18
896,1248.2,NetBanking,2024-01-23
2718,1237.43,UPI,2024-01-18
806,706.22,Card,2024-01-15
12357,1239.36,UPI,2024-02-04
12943,273.39,UPI,2024-01-16
16520,1881.13,Card,2024-01-11
17873,1801.62,NetBanking,2024-01-07
14028,995.57,Wallet,2024-01-23
9018,204.83,NetBanking,2024-02-21
18349,1988.44,UPI,2024-01-29
2192,1337.26,Card,2024-02-08
18818,1475.88,NetBanking,2024-01-27
18541,413.14,Wallet,2024-02-28
17912,1455.16,NetBanking,2024-02-21
6528,1946.23,Card,2024-01-16
7677,1725.36,Wallet,2024-02-11
12867,1613.43,NetBanking,2024-01-19
15797,980.19,Card,2024-02-19
19950,887.29,UPI,2024-01-16
6657,1172.36,NetBanking,2024-02-07
15801,533.19,Card,2024-02-23
1947,1066.55,Wallet,2024-01-02
6760,1545.56,NetBanking,2024-01-09
10683,1059.1,NetBanking,2024-01-16
12349,1097.74,NetBanking,2024-01-12
9165,1744.21,Card,2024-01-04
3836,1558.18,Wallet,2024-02-03
7242,145.34,UPI,2024-02-22
18655,1839.0,UPI,2024-01-10
533,795.53,Card,2024-01-17
18809,279.51,UPI,2024-02-26
15952,1265.46,Wallet,2024-02-26
6185,1030.1,Card,2024-01-12
6194,634.72,Wallet,2024-02-02
9723,1939.29,Wallet,2024-01-15
8299,185.26,UPI,2024-02-29
13962,716.73,Wallet,2024-02-08
6097,1385.46,Wallet,2024-01-07
8742,1833.75,Card,2024-02-12
7283,660.91,UPI,2024-01-14
2469,514.75,NetBanking,2024-01-03
7669,1517.86,Wallet,2024-01-17
1237,936.21,Wallet,2024-02-26
13627,209.4,Wallet,2024-02-10
11138,769.21,Wallet,2024-01-06
4114,1668.92,Wallet,2024-02-08
11094,1207.61,NetBanking,2024-02-10
6587,489.24,NetBanking,2024-03-01
6761,881.26,UPI,2024-02-03
18640,1313.9,Wallet,2024-02-27
4125,1872.17,Wallet,2024-01-22
15122,593.07,Card,2024-02-03
10037,199.62,NetBanking,2024-02-14
8796,1103.86,NetBanking,2024-01-09
8180,550.1,NetBanking,2024-02-22
3739,1470.2,Card,2024-02-18
5907,590.58,Wallet,2024-02-07
7384,1426.34,UPI,2024-02-19
14972,1520.33,Wallet,2024-01-27
4111,250.79,UPI,2024-02-07
786,1205.86,Wallet,2024-02-22
19636,1871.19,Wallet,2024-01-05
18221,953.09,Card,2024-02-26
